"","Domain","Phylum","Class","Order","Family","Genus","Species","sign"
"OTU561","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","uncl_Diaporthaceae","uncl_Diaporthaceae","Generalists"
"OTU67","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","Generalists"
"OTU102","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","Generalists"
"OTU749","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","uncl_Lophiostoma","Generalists"
"OTU2","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","Generalists"
"OTU877","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","Generalists"
"OTU12011","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","Generalists"
"OTU205","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","uncl_Strophariaceae","uncl_Strophariaceae","Generalists"
"OTU1529","Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae","uncl_Glomeraceae","Generalists"
"OTU423","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","uncl_Talaromyces","Generalists"
"OTU1509","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","uncl_Periconia","Generalists"
"OTU689","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","Generalists"
"OTU50","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnum","uncl_Lachnum","Generalists"
"OTU3018","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","uncl_Hypocreaceae","uncl_Hypocreaceae","Generalists"
"OTU91","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_polyphialidicum","Generalists"
"OTU367","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","uncl_Pleosporaceae","uncl_Pleosporaceae","Generalists"
"OTU13116","Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","Generalists"
"OTU7288","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","Generalists"
"OTU53","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","uncl_Nectriaceae","uncl_Nectriaceae","Generalists"
"OTU146","Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","Generalists"
"OTU3757","Fungi","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales","Generalists"
"OTU76","Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae","Myrmecridium","uncl_Myrmecridium","Generalists"
"OTU715","Fungi","Ascomycota","Leotiomycetes","Helotiales","uncl_Helotiales","uncl_Helotiales","uncl_Helotiales","Generalists"
"OTU30","Fungi","Ascomycota","Lecanoromycetes","uncl_Lecanoromycetes","uncl_Lecanoromycetes","uncl_Lecanoromycetes","uncl_Lecanoromycetes","Generalists"
"OTU594","Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","Generalists"
"OTU631","Fungi","Ascomycota","Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes","Generalists"
"OTU830","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania","uncl_Nemania","Generalists"
"OTU7602","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae","uncl_Diatrypaceae","Generalists"
"OTU3","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","Generalists"
"OTU7361","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","uncl_Nectriaceae","uncl_Nectriaceae","Generalists"
"OTU8836","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","Generalists"
"OTU293","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia_inaequalis","Generalists"
"OTU5531","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","uncl_Nectriaceae","uncl_Nectriaceae","Generalists"
"OTU10392","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium","Generalists"
"OTU121","Fungi","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales","Generalists"
"OTU809","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","Generalists"
"OTU7504","Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales","Generalists"
"OTU674","Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales","Generalists"
"OTU9163","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","Generalists"
"OTU58","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","Generalists"
"OTU3896","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","Generalists"
"OTU289","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","Generalists"
"OTU137","Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","Generalists"
"OTU200","Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","Generalists"
