"Domain","Phylum","Class","Order","Family","Genus","Species"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","uncl_Hypocreaceae","uncl_Hypocreaceae"
"Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales","uncl_Agaricales"
"Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"Fungi","Basidiomycota","Pucciniomycetes","Septobasidiales","Septobasidiaceae","Septobasidium","uncl_Septobasidium"
"Fungi","Basidiomycota","Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes"
"Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","uncl_Diaporthaceae","uncl_Diaporthaceae"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lindgomycetaceae","uncl_Lindgomycetaceae","uncl_Lindgomycetaceae"
"Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","uncl_Cladophialophora"
"Fungi","Ascomycota","Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes","uncl_Dothideomycetes"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales","uncl_Chaetothyriales"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales","uncl_Pleosporales"
"Fungi","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales","uncl_Sordariales"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","uncl_Periconia"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","uncl_Fusarium"
"Fungi","Ascomycota","Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","uncl_Lophiostoma"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","uncl_Coprinellus"
"Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","uncl_Lycoperdaceae","uncl_Lycoperdaceae"
"Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales","uncl_Xylariales"
