"","Taxa","Occurrence","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU173","OTU173",0.445652173913043,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","uncl_Hypocreaceae",NA
"OTU236","OTU236",0.66304347826087,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","uncl_Agaricales","uncl_Agaricales",NA
"OTU1","OTU1",1,"Fungi","Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota","uncl_Ascomycota",NA
"OTU713","OTU713",0.0760869565217391,"Fungi","Basidiomycota","Pucciniomycetes","Septobasidiales","Septobasidiaceae","Septobasidium",NA
"OTU156","OTU156",0.684782608695652,"Fungi","Basidiomycota","Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes","uncl_Agaricomycetes",NA
"OTU561","OTU561",0.402173913043478,"Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","uncl_Diaporthaceae",NA
"OTU1561","OTU1561",0.0760869565217391,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lindgomycetaceae","uncl_Lindgomycetaceae",NA
"OTU3638","OTU3638",0.239130434782609,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora",NA
"OTU5","OTU5",0.66304347826087,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia",NA
"OTU12","OTU12",0.967391304347826,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"OTU749","OTU749",0.391304347826087,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma",NA
"OTU5362","OTU5362",0.0217391304347826,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus",NA
"OTU2034","OTU2034",0.0326086956521739,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","uncl_Lycoperdaceae",NA
"OTU24","OTU24",0.619565217391304,"Fungi","Ascomycota","Sordariomycetes","Xylariales","uncl_Xylariales","uncl_Xylariales",NA
"OTU187","OTU187",0.391304347826087,"Fungi","Ascomycota","Sordariomycetes","Diaporthales","uncl_Diaporthales","uncl_Diaporthales",NA
"OTU25","OTU25",0.989130434782609,"Fungi","Ascomycota","Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes","uncl_Sordariomycetes",NA
"OTU2160","OTU2160",0.0217391304347826,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cuniculitremaceae","Kockovaella",NA
"OTU48","OTU48",1,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","uncl_Pleosporales","uncl_Pleosporales",NA
"OTU135","OTU135",0.456521739130435,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces",NA
"OTU50","OTU50",0.434782608695652,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnum",NA
"OTU367","OTU367",0.347826086956522,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","uncl_Pleosporaceae",NA
"OTU100","OTU100",0.5,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","uncl_Marasmiaceae",NA
"OTU225","OTU225",0.271739130434783,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium",NA
"OTU53","OTU53",0.695652173913043,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","uncl_Nectriaceae",NA
"OTU76","OTU76",0.543478260869565,"Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae","Myrmecridium",NA
"OTU721","OTU721",0.0217391304347826,"Fungi","Basidiomycota","Pucciniomycetes","Septobasidiales","Septobasidiaceae","uncl_Septobasidiaceae",NA
"OTU149","OTU149",0.652173913043478,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","uncl_Didymosphaeriaceae",NA
"OTU30","OTU30",0.510869565217391,"Fungi","Ascomycota","Lecanoromycetes","uncl_Lecanoromycetes","uncl_Lecanoromycetes","uncl_Lecanoromycetes",NA
"OTU830","OTU830",0.33695652173913,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania",NA
"OTU293","OTU293",0.66304347826087,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",NA
"OTU1736","OTU1736",0.184782608695652,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","uncl_Tulasnellaceae",NA
"OTU94","OTU94",0.521739130434783,"Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Magnaporthiopsis",NA
"OTU1170","OTU1170",0.369565217391304,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Veronaea",NA
"OTU4125","OTU4125",0.119565217391304,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Elasticomyces",NA
"OTU256","OTU256",0.402173913043478,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",NA
"OTU123","OTU123",0.58695652173913,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","uncl_Stachybotryaceae",NA
"OTU5708","OTU5708",0.478260869565217,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","uncl_Diatrypaceae",NA
"OTU263","OTU263",0.434782608695652,"Fungi","Ascomycota","Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes","uncl_Leotiomycetes",NA
"OTU1252","OTU1252",0.326086956521739,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Podoscyphaceae","Podoscypha",NA
"OTU1485","OTU1485",0.315217391304348,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","uncl_Ophiocordycipitaceae",NA
"OTU1575","OTU1575",0.978260869565217,"Fungi","Mucoromycota","Glomeromycetes","Glomerales","Glomeraceae","uncl_Glomeraceae",NA
"OTU1524","OTU1524",0.0326086956521739,"Fungi","Ascomycota","Dothideomycetes","Gloniales","Gloniaceae","uncl_Gloniaceae",NA
"OTU40","OTU40",0.391304347826087,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Crinipellis",NA
"OTU432","OTU432",0.0760869565217391,"Fungi","Basidiomycota","Agaricomycetes","Geastrales","uncl_Geastrales","uncl_Geastrales",NA
"OTU2222","OTU2222",0.0978260869565217,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Simplicillium",NA
"OTU182","OTU182",0.33695652173913,"Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Codinaea",NA
"OTU1642","OTU1642",0.293478260869565,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"OTU2285","OTU2285",0.195652173913043,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera",NA
"OTU396","OTU396",0.108695652173913,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sparticola",NA
"OTU2794","OTU2794",0.358695652173913,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA
"OTU1643","OTU1643",0.141304347826087,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA
"OTU1809","OTU1809",0.0760869565217391,"Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","uncl_Pestalotiopsidaceae",NA
"OTU14","OTU14",0.402173913043478,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Ijuhya",NA
"OTU520","OTU520",0.239130434782609,"Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriaceae","Nigrospora",NA
"OTU2378","OTU2378",0.0760869565217391,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnella",NA
"OTU7437","OTU7437",0.0108695652173913,"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Powellomycetaceae","Fimicolochytrium",NA
"OTU5041","OTU5041",0.0434782608695652,"Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Tranzscheliella",NA
"OTU131","OTU131",0.945652173913043,"Fungi","Ascomycota","Sordariomycetes","Sordariales","uncl_Sordariales","uncl_Sordariales",NA
"OTU7416","OTU7416",0.0326086956521739,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","uncl_Cordycipitaceae",NA
"OTU127","OTU127",0.717391304347826,"Fungi","Ascomycota","Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes","uncl_Eurotiomycetes",NA
"OTU10922","OTU10922",0.184782608695652,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Stagonospora",NA
"OTU22","OTU22",0.228260869565217,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Mollisia",NA
"OTU632","OTU632",0.445652173913043,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","uncl_Phaeosphaeriaceae",NA
"OTU2171","OTU2171",0.0760869565217391,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Geopora",NA
"OTU2691","OTU2691",0.0543478260869565,"Fungi","Basidiomycota","Exobasidiomycetes","Exobasidiales","Brachybasidiaceae","Meira",NA
"OTU725","OTU725",0.141304347826087,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella",NA
"OTU1515","OTU1515",0.152173913043478,"Fungi","Ascomycota","Arthoniomycetes","uncl_Arthoniomycetes","uncl_Arthoniomycetes","uncl_Arthoniomycetes",NA
"OTU277","OTU277",0.0434782608695652,"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Hymenochaete",NA
"OTU1935","OTU1935",0.130434782608696,"Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Chionosphaeraceae","Kurtzmanomyces",NA
"OTU1523","OTU1523",0.16304347826087,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Rachicladosporium",NA
"OTU2584","OTU2584",0.0543478260869565,"Fungi","Basidiomycota","Tremellomycetes","uncl_Tremellomycetes","uncl_Tremellomycetes","uncl_Tremellomycetes",NA
"OTU1348","OTU1348",0.195652173913043,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","uncl_Sporormiaceae",NA
"OTU2759","OTU2759",0.152173913043478,"Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces",NA
"OTU846","OTU846",0.0217391304347826,"Fungi","Ascomycota","Sordariomycetes","Sporidesmiales","uncl_Sporidesmiales","uncl_Sporidesmiales",NA
"OTU1940","OTU1940",0.0760869565217391,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","uncl_Melanommataceae",NA
"OTU1852","OTU1852",0.0652173913043478,"Fungi","Ascomycota","Dothideomycetes","Dothideales","uncl_Dothideales","uncl_Dothideales",NA
"OTU518","OTU518",0.0869565217391304,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","uncl_Massarinaceae",NA
"OTU4041","OTU4041",0.0108695652173913,"Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","uncl_Stictidaceae",NA
"OTU697","OTU697",0.0434782608695652,"Fungi","Basidiomycota","Agaricomycetes","Atheliales","uncl_Atheliales","uncl_Atheliales",NA
"OTU4174","OTU4174",0.0326086956521739,"Fungi","Ascomycota","Leotiomycetes","Thelebolales","Thelebolaceae","Thelebolus",NA
